,CV AUC,CV Std
Random Forest,0.9577128268115865,0.0014375848694336653
LightGBM,0.949961443449616,0.001584518215796485
XGBoost,0.9433021976837376,0.0018072193816935035
Gradient Boosting,0.9267815927261293,0.0019771050024254763
Logistic Regression,0.8979324256450312,0.0018836667386151343
Decision Tree,0.8492098526186187,0.002513829835292312
